question,answer
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Thần kinh.
Giá khám ở khoa Hô hấp là bao nhiêu?,Chi phí khám ở khoa Hô hấp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ chụp X-quang có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ chụp X-quang."
Tôi có thể đặt lịch khám Hô hấp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Hô hấp qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Cơ xương khớp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Cơ xương khớp qua website hoặc tổng đài.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
"Tôi bị mệt mỏi, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Giá khám ở khoa Cơ xương khớp là bao nhiêu?,Chi phí khám ở khoa Cơ xương khớp phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng chán ăn có nguy hiểm không?,Triệu chứng chán ăn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Y học cổ truyền ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Y học cổ truyền qua website hoặc tổng đài.
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau đầu, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Hô hấp không?,"Có, bệnh viện có chuyên khoa Hô hấp."
Bệnh viện có khoa Hô hấp không?,"Có, bệnh viện có chuyên khoa Hô hấp."
"Tôi bị đau đầu, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Răng Hàm Mặt để được bác sĩ thăm khám.
"Tôi bị đau mắt, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị ngứa, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Giá khám ở khoa Phục hồi chức năng là bao nhiêu?,Chi phí khám ở khoa Phục hồi chức năng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị sốt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Y học cổ truyền.
Tôi muốn gặp bác sĩ chuyên về viêm da,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Cơ xương khớp.
Giá khám ở khoa Nhi là bao nhiêu?,Chi phí khám ở khoa Nhi phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Tôi cần tư vấn về đau thần kinh tọa,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau thần kinh tọa.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Sản không?,"Có, bệnh viện có chuyên khoa Sản."
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
Dịch vụ xét nghiệm máu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ xét nghiệm máu."
"Tôi bị đau khớp, buồn nôn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Khoa Nội làm việc khi nào?,"Khoa Nội làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Khoa Thần kinh làm việc khi nào?,"Khoa Thần kinh làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị sụt cân, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị đau họng, đau bụng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
"Tôi bị tiêu chảy, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Thần kinh.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị sụt cân, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị đau họng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Mắt để được bác sĩ thăm khám.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị chóng mặt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Khoa Cơ xương khớp làm việc khi nào?,"Khoa Cơ xương khớp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
"Tôi bị khó thở, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
Tôi có thể đặt lịch khám Mắt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Mắt qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Ngoại ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Ngoại qua website hoặc tổng đài.
Tôi có thể đặt lịch khám Răng Hàm Mặt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Răng Hàm Mặt qua website hoặc tổng đài.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Bệnh viện có khoa Da liễu không?,"Có, bệnh viện có chuyên khoa Da liễu."
Tôi có thể đặt lịch khám Tai Mũi Họng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tai Mũi Họng qua website hoặc tổng đài.
Khoa Tim mạch làm việc khi nào?,"Khoa Tim mạch làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Tôi có thể đặt lịch khám Hô hấp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Hô hấp qua website hoặc tổng đài.
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Hô hấp để được bác sĩ thăm khám.
Bệnh viện có khoa Nội không?,"Có, bệnh viện có chuyên khoa Nội."
Triệu chứng đau khớp có nguy hiểm không?,Triệu chứng đau khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị buồn nôn, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi có thể đặt lịch khám Nội ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nội qua website hoặc tổng đài.
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
"Tôi bị đau họng, ho, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị sụt cân, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Bệnh viện có khoa Tim mạch không?,"Có, bệnh viện có chuyên khoa Tim mạch."
Tôi có thể đặt lịch khám Nhi ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nhi qua website hoặc tổng đài.
Triệu chứng khó thở có nguy hiểm không?,Triệu chứng khó thở có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau ngực, sụt cân, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Triệu chứng sốt có nguy hiểm không?,Triệu chứng sốt có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị đau lưng, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
"Tôi bị chóng mặt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tai Mũi Họng để được bác sĩ thăm khám.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
Giá khám ở khoa Nhi là bao nhiêu?,Chi phí khám ở khoa Nhi phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị phát ban, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị đau đầu, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
Triệu chứng tiêu chảy có nguy hiểm không?,Triệu chứng tiêu chảy có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị phát ban, đau đầu, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng mẩn đỏ có nguy hiểm không?,Triệu chứng mẩn đỏ có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Tôi muốn gặp bác sĩ chuyên về đau dạ dày,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tim mạch.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Giá khám ở khoa Da liễu là bao nhiêu?,Chi phí khám ở khoa Da liễu phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị đau đầu, chóng mặt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Ngoại là bao nhiêu?,Chi phí khám ở khoa Ngoại phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
"Tôi bị đau đầu, sốt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau họng có nguy hiểm không?,Triệu chứng đau họng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Bệnh viện có khoa Da liễu không?,"Có, bệnh viện có chuyên khoa Da liễu."
Khoa Ngoại làm việc khi nào?,"Khoa Ngoại làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi muốn gặp bác sĩ chuyên về tiểu đường,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Sản.
"Tôi bị sốt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Y học cổ truyền để được bác sĩ thăm khám.
Tôi có thể đặt lịch khám Tiêu hóa ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Tiêu hóa qua website hoặc tổng đài.
"Tôi bị sụt cân, đau ngực, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ tiêm chủng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tiêm chủng."
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
"Tôi bị phát ban, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Tôi cần tư vấn về viêm khớp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm khớp.
"Tôi bị đau bụng, chán ăn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Dịch vụ nội soi có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ nội soi."
"Tôi bị sưng khớp, phát ban, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tai Mũi Họng.
"Tôi bị chóng mặt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Ngoại để được bác sĩ thăm khám.
Khoa Răng Hàm Mặt làm việc khi nào?,"Khoa Răng Hàm Mặt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Phục hồi chức năng để được bác sĩ thăm khám.
Khoa Phục hồi chức năng làm việc khi nào?,"Khoa Phục hồi chức năng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
"Tôi bị sưng khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Cơ xương khớp để được bác sĩ thăm khám.
Tôi muốn gặp bác sĩ chuyên về viêm phổi,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Răng Hàm Mặt.
Khoa Nhi làm việc khi nào?,"Khoa Nhi làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị chán ăn, mệt mỏi, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
"Tôi bị ngứa, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Bệnh viện có khoa Tiêu hóa không?,"Có, bệnh viện có chuyên khoa Tiêu hóa."
"Tôi bị chán ăn, sốt, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi có thể đặt lịch khám Sản ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Sản qua website hoặc tổng đài.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Bệnh viện có khoa Y học cổ truyền không?,"Có, bệnh viện có chuyên khoa Y học cổ truyền."
"Tôi bị buồn nôn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Tim mạch để được bác sĩ thăm khám.
Triệu chứng ngứa có nguy hiểm không?,Triệu chứng ngứa có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Khoa Tiêu hóa làm việc khi nào?,"Khoa Tiêu hóa làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng khó thở có nguy hiểm không?,Triệu chứng khó thở có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Triệu chứng sụt cân có nguy hiểm không?,Triệu chứng sụt cân có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị chóng mặt, khó thở, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Giá khám ở khoa Phục hồi chức năng là bao nhiêu?,Chi phí khám ở khoa Phục hồi chức năng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Triệu chứng chán ăn có nguy hiểm không?,Triệu chứng chán ăn có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Khoa Mắt làm việc khi nào?,"Khoa Mắt làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
"Tôi bị đau mắt, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng sưng khớp có nguy hiểm không?,Triệu chứng sưng khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Triệu chứng đau họng có nguy hiểm không?,Triệu chứng đau họng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
Bệnh viện có khoa Nhi không?,"Có, bệnh viện có chuyên khoa Nhi."
Giá khám ở khoa Phục hồi chức năng là bao nhiêu?,Chi phí khám ở khoa Phục hồi chức năng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị mẩn đỏ, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Tai Mũi Họng không?,"Có, bệnh viện có chuyên khoa Tai Mũi Họng."
"Tôi bị đau bụng, chán ăn, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Cơ xương khớp không?,"Có, bệnh viện có chuyên khoa Cơ xương khớp."
"Tôi bị sưng khớp, đau họng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về viêm gan,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm gan.
"Tôi bị chán ăn, tiêu chảy, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
Tôi muốn gặp bác sĩ chuyên về suy tim,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Tim mạch.
Tôi cần tư vấn về tiểu đường,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về tiểu đường.
"Tôi bị đau ngực, đau bụng, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về đau thần kinh tọa,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau thần kinh tọa.
Dịch vụ xét nghiệm máu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ xét nghiệm máu."
"Tôi bị đau họng, đau khớp, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về cao huyết áp,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về cao huyết áp.
"Tôi bị đau lưng, đau đầu, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Tôi có thể đặt lịch khám Hô hấp ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Hô hấp qua website hoặc tổng đài.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi muốn gặp bác sĩ chuyên về đau thần kinh tọa,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Hô hấp.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
"Tôi bị chán ăn, phát ban, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Triệu chứng đau lưng có nguy hiểm không?,Triệu chứng đau lưng có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
"Tôi bị chán ăn, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nhi để được bác sĩ thăm khám.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Thần kinh.
"Tôi bị sưng khớp, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Sản để được bác sĩ thăm khám.
Giá khám ở khoa Nội là bao nhiêu?,Chi phí khám ở khoa Nội phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Triệu chứng khó thở có nguy hiểm không?,Triệu chứng khó thở có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Phục hồi chức năng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Phục hồi chức năng qua website hoặc tổng đài.
Khoa Y học cổ truyền làm việc khi nào?,"Khoa Y học cổ truyền làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi cần tư vấn về viêm da,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm da.
Bệnh viện có khoa Nội không?,"Có, bệnh viện có chuyên khoa Nội."
Dịch vụ điều trị vật lý trị liệu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ điều trị vật lý trị liệu."
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi có thể đặt lịch khám Nhi ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Nhi qua website hoặc tổng đài.
Triệu chứng đau khớp có nguy hiểm không?,Triệu chứng đau khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Mắt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Mắt qua website hoặc tổng đài.
Triệu chứng đau đầu có nguy hiểm không?,Triệu chứng đau đầu có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi có thể đặt lịch khám Phục hồi chức năng ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Phục hồi chức năng qua website hoặc tổng đài.
Khoa Hô hấp làm việc khi nào?,"Khoa Hô hấp làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Tôi muốn gặp bác sĩ chuyên về viêm khớp,Bạn vui lòng đặt lịch với bác sĩ chuyên khoa Phục hồi chức năng.
Tôi cần tư vấn về đau thần kinh tọa,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau thần kinh tọa.
Bệnh viện có khoa Phục hồi chức năng không?,"Có, bệnh viện có chuyên khoa Phục hồi chức năng."
Triệu chứng đau ngực có nguy hiểm không?,Triệu chứng đau ngực có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Dịch vụ khám tổng quát có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ khám tổng quát."
"Tôi bị đau bụng, ho, tôi nên làm gì?",Bạn nên đến bệnh viện khám ngay để được chẩn đoán kịp thời.
Giá khám ở khoa Nhi là bao nhiêu?,Chi phí khám ở khoa Nhi phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Dịch vụ tư vấn dinh dưỡng có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ tư vấn dinh dưỡng."
Khoa Sản làm việc khi nào?,"Khoa Sản làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Giá khám ở khoa Y học cổ truyền là bao nhiêu?,Chi phí khám ở khoa Y học cổ truyền phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Bệnh viện có khoa Ngoại không?,"Có, bệnh viện có chuyên khoa Ngoại."
"Tôi bị chóng mặt, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Phục hồi chức năng để được bác sĩ thăm khám.
Dịch vụ xét nghiệm máu có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ xét nghiệm máu."
"Tôi bị ho, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Nội để được bác sĩ thăm khám.
Giá khám ở khoa Mắt là bao nhiêu?,Chi phí khám ở khoa Mắt phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
"Tôi bị mẩn đỏ, nên khám ở khoa nào?",Bạn nên đến chuyên khoa Thần kinh để được bác sĩ thăm khám.
Dịch vụ siêu âm có tại bệnh viện không?,"Có, bệnh viện có cung cấp dịch vụ siêu âm."
Bệnh viện có khoa Mắt không?,"Có, bệnh viện có chuyên khoa Mắt."
Khoa Tai Mũi Họng làm việc khi nào?,"Khoa Tai Mũi Họng làm việc từ Thứ Hai đến Thứ Bảy, 7h30 - 17h."
Bệnh viện có khoa Nhi không?,"Có, bệnh viện có chuyên khoa Nhi."
Tôi có thể đặt lịch khám Răng Hàm Mặt ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Răng Hàm Mặt qua website hoặc tổng đài.
Giá khám ở khoa Tai Mũi Họng là bao nhiêu?,Chi phí khám ở khoa Tai Mũi Họng phụ thuộc vào dịch vụ. Vui lòng tham khảo tại quầy.
Tôi cần tư vấn về viêm phổi,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về viêm phổi.
Tôi có thể đặt lịch khám Da liễu ở đâu?,Bạn có thể đặt lịch khám chuyên khoa Da liễu qua website hoặc tổng đài.
Tôi cần tư vấn về suy tim,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về suy tim.
Triệu chứng đau khớp có nguy hiểm không?,Triệu chứng đau khớp có thể liên quan đến bệnh lý. Bạn nên đi khám sớm.
Tôi cần tư vấn về trầm cảm,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về trầm cảm.
Tôi cần tư vấn về đau dạ dày,Vui lòng cung cấp thêm thông tin để tôi hỗ trợ về đau dạ dày.
